anchor,positive,negative,lang
Tèmítọ́pẹ́ ló gbégbá orókè,Tèmítọ́pé ló ṣẹ́gun,Tèmí ló pàdánù,yo
Táyé ń fẹnu ròfọ́ ni,Táyé ń lérí ohun tó le ṣe ní,Táyé ń lérí ohun tí kò le ṣe ní,yo
"सच्चा शासक वही होता है, जो सबको सोने के समान देखता है। ",सच्चा शासक सबके साथ अच्छा व्यवहार करता है। ,सच्चा शासक सबके साथ बुरा व्यवहार करता है। ,hi
jalma ayeuna teh sok gurat cai,jalma ayeuna teh sok babari ngarobah omongan atawa janji,jalma ayeuna teh sok pageuh kana omongan atawa janji.,su
Mo ti sún kàngiri,Mo lè gbà á mọ́ra,Mi ò lè fara mọ́ ọn mọ́,yo
Wedhange kaya kolak gedhang,Wedhange manis,Wedhange pahit,jv
ಈ ವಾಹನವು ಹೆಲಿಕ್ಯಾಪ್ಟರ್ ನಂತೆ ಎತ್ತರಕ್ಕೆ ಹಾರಬಲ್ಲದು,ಈ ವಾಹನವು ಎತ್ತರಕ್ಕೆ ಹಾರಲ್ಲ,ಈ ವಾಹನವು ಎತ್ತರಕ್ಕೆ ಹಾರಬಲ್ಲದು,kn
Ó ti kógbó sími lápò,Ó di yọ ọ̀ràn lórùn mi,Ó ti wá àkóbá fún mi,yo
Òkòlò Ọ̀yọ́ ni Àjàlá,Àjàlá kì í ṣeni mímọ̀,Ìlú mọ̀-ọ́n-ká Àjàlá,yo
ಅದು ಹಡಗಿನಷ್ಟು ದೊಡ್ಡದಾಗಿದೆ,ಅದು ದೊಡ್ಡದಾಗಿದೆ,ಅದು ದೊಡ್ಡದಾಗಿಲ್ಲ,kn
जीत पर मंत्री जी को लोगों ने फूलों की माला पहनाई। ,लोग मंत्री जी की जीत से बहुत खुश थे।,लोग मंत्री जी की जीत से बहुत दुखी थे।,hi
Àlàmú fọ́ gbogbo ilẹ̀kùn ilé kó tó wọlé,Àlàmú gan ẹsẹ̀ mọ́lẹ̀ wọlé lánàá,Àlàmú wọlé láì pariwo lánàá,yo
Nilai matematikanya setinggi langit.,Nilai matematikanya bagus.,Nilai matematikanya jelek.,id
The athlete was as good as mike tyson when he's 80,the athlete was bad,the athlete was great,en_dev
The selection at the store was like that of A lonely street vendor,The store has a limited selection of items,The store has a wide range of items,en_dev
Love in marriage is the worm inside the pretty apple,love in marriage is an unpleasant surprise that ruins it,"love in marriage is the best, finishing touch",en_dev
Ike omi ọgọ́rùn-ún ni Àdìsá pọn kó tó lọ sí ilé ìwé láàárọ̀ yìí,Àdìsá pọn omi púpọ̀,Omi díẹ̀ ni Àdìsá pọn,yo
ಈ ಹಾಲು ತಾಯಿಯ ಹಾಲಿನಷ್ಟು  ಪೌಷ್ಟಿಕತೆ ಹೊಂದಿದೆ,ಈ ಹಾಲು ಹೆಚ್ಚು ಪೌಷ್ಟಿಕತೆ ಹೊಂದಿದೆ,ಈ ಹಾಲು ಹೆಚ್ಚು ಪೌಷ್ಟಿಕತೆ ಹೊಂದಿಲ್ಲ,kn
ಅವನು ವ್ಯಾಪಾರಿಯ ಹಾಗೆ ಶ್ರೀಮಂತ.,ಅವನು ಶ್ರೀಮಂತ,ಅವನು ಶ್ರೀಮಂತನಲ್ಲ,kn
hujan teh meuni siga ngajak geulut,hujan teh meuni badag jeung gandeng,hujan teh meuni sepi jeung geunaheun.,su
Ọbẹ̀ tí Àbẹ̀ní sè̀ ládùn bí i oyin,Ọbẹ̀ náà kò dùn,Ọbẹ̀ náà dùn ta lẹ́nu,yo
Hargi sewa mobil di dieu saharga biaya umroh,Hargi sewa mobil di dieu awis,Hargi sewa mobil di dieu mirah.,su
ಈ ಅಕ್ಷರಗಳು ಪ್ರಬಂಧದಂತೆ ಮೂಲಭೂತವಾಗಿದೆ,ಈ ಅಕ್ಷರಗಳು ಮೂಲಭೂತವಾಗಿಲ್ಲ,ಈ ಅಕ್ಷರಗಳು ಮೂಲಭೂತವಾಗಿದೆ,kn
Bólú ò rẹ́nìkan wò ṣe,Bólú ń wo ìgbésẹ̀ ẹlòmìíràn láti gbé tirẹ̀,Bólú kò wo ìgbésẹ̀ ẹlòmìíràn láti gbé tirẹ̀,yo
The beach was as hot as a iceberg,The beach was very cold.,The beach was very warm.,en_dev
बर्गर में धोबी के हाथो सा स्वाद है। ,बर्गर बहुत बेस्वाद है। ,बर्गर बहुत स्वादिष्ट है। ,hi
Mradi huu ni kama mvua iliyosubiriwa kwa muda mrefu.,Mradi huu ni baraka.,Mradi huu ni janga.,sw
That writer's prose is homemade pie,That writer's prose is simple and pleasant to process,That writer's prose is difficult and unpleasant to process,en_dev
"Ra umum, duwurmen adike Anas sak wit ceplukan",Adike Anas cendek,Adike Anas duwur banget,jv
Ilmu adalah suatu hal yang didapatkan hanya untuk membuang-buang waktu.,Ilmu itu tidak berguna.,Ilmu itu sangat berguna.,id
प्रदीप रामलाल के माकन पर साँप की तरह बैठ गया। ,प्रदीप कपटी मित्र है।,प्रदीप अच्छा मित्र है।,hi
Sepak bola bagi masyarakat Indonesia bagaikan agama yang harus dipertahankan mati-matian.,Sepak bola adalah hal yang serius bagi masyarakat Indonesia.,Sepak bola adalah hal yang biasa saja bagi masyarakat Indonesia.,id
Anak laki-laki dalam adat Jawa adalah beban keluarga.,Anak laki-laki dalam adat Jawa dinilai tidak berharga.,Anak laki-laki dalam adat Jawa dinilai sangat berharga.,id
Sekarang situasinya seperti tenunan benang.,Sekarang situasinya terkendali.,Sekarang situasinya rumit.,id
माँ का गुस्सा गर्म दूध सा होता है। ,माँ को गुस्सा बहुत जल्दी ठंडा हो जाता है।  ,माँ को गुस्सा नहीं आता है। ,hi
Sikapmu padaku bagai kopi sisa semalam.,Sikapmu padaku dingin.,Sikapmu padaku hangat.,id
ಅದು ಬಿರುಗಾಳಿಯಂತೆ ಬಿಸಿಯಾಗಿತ್ತು,ಅದು ತಣ್ಣಗಿತ್ತು,ಅದು ತುಂಬಾ ಬಿಸಿಯಾಗಿತ್ತು,kn
Kecap-kecapna kawas pinuh ku cucuk.,Kecap-kecapna kawas mikeun nyeri hate.,Kecap-kecapna kawas indah,su
Buku sakola ayeuna sakandeul ensiklopedia dunia.,Buku sakola ayeuna kandeul.,Buku sakola ayeuna ipis,su
My anger is like a universe.,My anger is vast.,My anger is fluctuating.,en_dev
Mtoto wake ni Adamu na Eva.,Mtoto wake ni mkaidi.,Mtoto wake ni mtiifu.,sw
Mchezaji yule ana mapafu ya mbwa,Mchezaji yule ana pumzi sana,Mchezaji yule hana pumzi sana,sw
ಆ ಹಣ್ಣು ಸೇಬಿನ ಹಣ್ಣಿನಂತೆ ಸೀಮಿತ ಕಾಲದಲ್ಲಿ ಮಾತ್ರ ದೊರೆಯುತ್ತದೆ,ಆ ಹಣ್ಣು ಎಲ್ಲಾ ಕಾಲದಲ್ಲಿ ದೊರೆಯುತ್ತದೆ,ಆ ಹಣ್ಣು ಸೀಮಿತ ಕಾಲದಲ್ಲಿ ಮಾತ್ರ ದೊರೆಯುತ್ತದೆ,kn
Polisi wana roho ya mtoto,Polisi si watu waovu sana,Polisi ni watu waovu sana,sw
ವಾತಾವರಣವೂ  ಚಳಿಗಾಲದಂತೆ ತಣ್ಣಗಿದೆ,ವಾತಾವರಣವೂ ತಣ್ಣಗಿದೆ,ವಾತಾವರಣವೂ ತಣ್ಣಗಿಲ್ಲ,kn
Maumivu ni shoka linalokata moyo wangu.,Maumivu yangu ni chungu sana.,Maumivu yangu si chungu.,sw
Tresnaku marang sliramu sejeroning samudra Hindia,Tresnaku marang sliramu jeru,Tresnaku marang sliramu cethek,jv
Nyawang esemmu sing rupane kaya ngemut glali,Nyawang esemmu sing manis,Nyawang esemmu sing pahit,jv
वह सादे लिबास पहनता है। ,वह बहुत शरीफ इंसान है। ,वह बहुत बदमाश इंसान है। ,hi
शीला स्कूल में मुँह में दही जमा के आती हैं। ,शीला स्कूल में बहुत कम बोलती है।,शीला स्कूल में बहुत बोलती है।,hi
उसके लिए पैसा कमाना ऑक्सीजन था।,पैसे कमाने ने उसे जीवित रखा।,पैसा कमाना उसे मार रहा था।,hi
ಸಮಾಜದಲ್ಲಿ ಅವರು ಜಡ್ಜ್ ನಂತೆ ಹೆಚ್ಚು ಗೌರವ ಹೊಂದಿದ್ದಾರೆ,ಸಮಾಜದಲ್ಲಿ ಅವರು ಹೆಚ್ಚು ಗೌರವ ಹೊಂದಿದ್ದಾರೆ,ಸಮಾಜದಲ್ಲಿ ಅವರು ಹೆಚ್ಚು ಗೌರವ ಹೊಂದಿಲ್ಲ,kn
उसकी मेहनत तालाब जैसी है।,वह बस रोज एक समान ही काम करता है। ,वह रोज पहले से बेहतर काम करने की कोशिश करता है।  ,hi
ಆ ಲೆಕ್ಚರ್ ಮ್ಯಾಜಿಕ್ ಶೋ ನಂತೆ ನಿದ್ದೆ ಬರಿಸುವಂತಿತ್ತು,ಆ ಲೆಕ್ಚರ್ ಆಸಕ್ತಿದಾಯಕವಾಗಿರಲಿಲ್ಲ,ಆ ಲೆಕ್ಚರ್ ಆಸಕ್ತಿದಾಯಕವಾಗಿತ್ತು,kn
Kamus Besar Bahasa Indonesia setebal buku Sidu.,Kamus Besar Bahasa Indonesia biasa saja.,Kamus Besar Bahasa Indonesia sangat tebal.,id
Ọdẹ́ṣọlá ní òye iṣẹ́ ọdẹ náà dójú àmì bí i olúọ́dẹ agboolé wa,Ọdẹ́ṣọlá mọ iṣẹ́ ọdẹ náà dáadáa,Ọdẹ́ṣọlá ń fi iṣẹ́ ọdẹ ṣeré,yo
ಆ ಸಂಭ್ರಮವು ಗೆಲುವಿನಂತೆ ಮಜವಾಗಿತ್ತು,ಆ ಸಂಭ್ರಮವು ಮಜವಾಗಿತ್ತು,ಆ ಸಂಭ್ರಮವು ಮಜವಾಗಿರಲಿಲ್ಲ,kn
Walikuwa pamoja kama Marekani na Kenya,Waliachana kwa umbali sana,Walikuwa pamoja kila siku,sw
Mapenzi ni keki,Mapenzi ni kitu kirahisi,Mapenzi ni kitu kigumu,sw
His speech had the urgency of a man who has to urinate,His speech had a lot of urgency,His speech had no urgency,en_dev
Ẹ jẹ̀bùrẹ́ awo olùgbẹ́bẹ̀,Ẹ má bínú,Ẹ má rọnú,yo
परीक्षा में सोहन ने ऐसा लिखा जैसे किसी ने मोती बिखरे हों। ,परीक्षा में सोहन ने बहुत सूंदर लिखावट में लिखा। ,परीक्षा में सोहन ने बहुत घटिया लिखावट में लिखा। ,hi
Angelina alituangalia kwa macho ya vikombe,Angelina alituangalia kwa macho ya kuvutia,Angelina alituangalia kwa macho ya  kutuchukia,sw
Awake Surya nalika isih sekolah mbiyen kaya kuru semangka,Awake Surya nalika isih sekolah mbiyen lemu banget,Awake Surya nalika isih sekolah mbiyen kuru banget,jv
पिता के प्यार सा मीठा है मेरा दोस्त। ,बहुत प्यार है मेरा दोस्त। ,कड़क मगर दिल से प्यारा है मेरा दोस्त। ,hi
Mengerjakan tugas Python itu ibarat bertempur di medan perang.,Tugas Python yang tidak menyenangkan.,Tugas Python yang menyenangkan.,id
Mjomba wa Lois anakula kama mgonjwa mahututi,Mjomba wa Lois aliwacha kula,Mjomba wa  Lois hawachi kula,sw
Kata-katanya saat mewawancarai narasumber seperti gunting kuku.,Kata-katanya saat mewawancarai narasumber sangat biasa saja sehingga membuat narasumber tenang-tenang saja.,Kata-katanya saat mewawancarai narasumber sangat tajam sehingga membuat gugup narasumber.,id
ನೀ ತಯಾರಿಸಿದ ಆಹಾರವು ಮನೆಯಲ್ಲಿ ಮಾಡಿದ ಆಹಾರದಂತೆ ಆರೋಗ್ಯಕರವಾಗಿದೆ,ನೀ ತಯಾರಿಸಿದ ಆಹಾರ ಆರೋಗ್ಯಕರವಾಗಿದೆ,ನೀ ತಯಾರಿಸಿದ ಆಹಾರ ಆರೋಗ್ಯಕರವಿಲ್ಲ,kn
Hidupnya di perantauan seterang bulan gerhana.,Hidup di perantauan itu penuh kesedihan.,Hidup di perantauan itu penuh kebahagiaan.,id
ಅವನು ಮಧ್ಯಾಹ್ನದಂತೆ ಬೇಗ ಏಳುತ್ತಾನೆ,ಅವನು ಬೇಗ ಏಳುವುದಿಲ್ಲ,ಅವನು ಬೇಗ ಏಳುತ್ತಾನೆ,kn
Ulah agul kana payung butut,Ulah agul kana harta saetik nu dipikaboga ayeuna,Ulah agul kana harta loba nu dipikaboga ayeuna.,su
Poto kawinan anjeun sapertos poster pelem nu meunang penghargaan,Poto kawinan anjeun estetik,Poto kawinan anjeun teu estetik.,su
Kipchoge aling'aa kama anga katika mbio za dunia,Kipchoge aling'aa katika mbio za dunia,Kipchoge alishindwa kung'aa katika mbio za dunia,sw
He has the spirituality of an Athiest who burns down churches,He is not spiritual at all,He is very spiritual,en_dev
"Ayọ̀mídé jẹ abọ́ ẹ̀bà méjìlá, ó wá ń gbẹ́sẹ̀ bí i olóyún tó ń rọbí",Ayọ̀mídé rìn dáada lẹ́yìn abọ́ ẹ̀bà méjìlá,Ayọ̀mídé ò lẹ̀ rìn dáadáa lẹ́yìn abọ́ ẹ̀bà méjìlá,yo
ಆ ವಸ್ತು ಬೆಂಕಿಯಷ್ಟು ಬಿಸಿಯಾಗಿದೆ,ಆ ವಸ್ತು ಬಿಸಿಯಾಗಿದೆ,ಆ ವಸ್ತು ತಣ್ಣಗಿದೆ,kn
Laptop baru Ani harganya seperti berlian.,Laptopnya mahal.,Laptopnya murah.,id
Babaturan kuring nyaéta jalma anu ringan leungeun,Babaturan kuring nyaéta jalma anu senang mere,Babaturan kuring nyaéta jalma anu nyuri.,su
Hendra kuwi omongane kaya kacekel tangan sepisan,Hendra kuwi omongane temenan,Hendra kuwi omongane ngapusi,jv
Ẹ jẹ́ pẹ̀rọ̀ síi,Ẹ jẹ́ ká fi ipá mú un,Ẹ jẹ́ ká fi ẹ̀lẹ̀ mú un,yo
Ajíbádé ń rẹ́rìn-ín sí mi,Ó fà mí mọ́ra,Ó pa mí tì,yo
ಆ ಪೇಂಟಿಂಗ್ ನ ಬಣ್ಣಗಳು ಸುಂದರವಾಗಿತ್ತು .,ಆ ಪೇಂಟಿಂಗ್ ನ ಬಣ್ಣಗಳು ಸುಂದರವಾಗಿತ್ತು,ಆ ಪೇಂಟಿಂಗ್ ನ ಬಣ್ಣಗಳು ಸುಂದರವಾಗಿಲ್ಲ,kn
कभी तो काम में बंद दरवाजे को खोला करो?,कभी तो काम में दूसरों की मादा लिया करो। ,कभी तो काम में दूसरों की मादा लेना बंद करो। ,hi
Pekerjaannya seolah anak kecil yang dibebaskan di taman bermain.,Pekerjaannya sangat menyenangkan.,Pekerjaannya sangat membosankan.,id
Twitter jaman kiwari makin sapertos warung klontong,Twitter jaman kiwari makin rame,Twitter jaman kiwari makin tiiseun.,su
Èrò tó wà lọ́jà kún àkúnfàya lánàá,Àwọn ènìyàn púpọ̀ wà lọ́jà,Àwọn mẹ́ta péré ló wà lọ́jà,yo
Lomari di kamar pun kolot saageung bagasi mobil sedan.,Lomari di kamar pun kolot alit.,Lomari di kamar pun kolot ageung,su
Mwanariadha yule ni kobe,Mwanariadha yule anakimbia polepole sana.,Mwanariadha yule ana mbio sana.,sw
ನಾನು ಮಗುವಿನಂತೆ ನಿದ್ರಿಸುತ್ತೇನೆ,ನಾನು ನಿದ್ರಿಸುತ್ತೇನೆ,ನಾನು ನಿದ್ರಿಸುತ್ತಿಲ್ಲ,kn
Mtu huyu ni kama jua na mwezi.,Mtu huyu anajulikana.,Mtu huyu ni wa ajabu.,sw
Neangan si eta kawas neang jarum di sawah,Neangan si eta hese,Neangan si eta gampil.,su
ಆ ಜಾಗದಲ್ಲಿ ಸ್ಮಶಾನದಂತೆ ಭಯವಾಗುತ್ತದೆ,ಆ ಜಾಗದಲ್ಲಿ ಭಯವಾಗುತ್ತದೆ,ಆ ಜಾಗದಲ್ಲಿ ಭಯವಾಗುವುದಿಲ್ಲ,kn
kinywa chake kilikuwa tunda jipya,alikuwa mchochezi,alikuwa mtulivu,sw
Matumaini yake yalipanda kama ndege alipopata habari,Matumaini yake yalipanda alipopata habari,Matumaini yake yalishuka alipopata habari,sw
Wajahnya terlihat seperti beauty filter di Instagram.,Wajahnya terlihat rupawan.,Wajahnya terlihat jelek.,id
Mega menerima hadiah tersebut dengan rendah hati.,Mega menerima hadiah tersebut dengan santun.,Mega menerima hadiah tersebut dengan sombong.,id
ಆ ಆಟವು ಸ್ಕೈ ಡ್ರೈವ್ ನಂತೆ ರೋಚಕವಾಗಿತ್ತು,ಆಟ ರೋಚಕವಾಗಿತ್ತು,ಆಟ ರೋಚಕವಾಗಿರಲಿಲ್ಲ,kn
Nduguye ni mbweha.,Nduguye ni mbinafsi sana.,Nduguye ni mkarimu sana.,sw
Jamaa alitoka baruti,Jamaa alikimbia kwa kasi,Jamaa alizubaa alivyokutana na vibaka,sw
Aku percaya bahwa hidup itu adalah air susu yang harus dibalas dengan air tuba.,Aku percaya bahwa hidup itu adalah kebaikan harus dibalas dengan kejahatan.,Aku percaya bahwa hidup itu adalah selalu berbuat baiklah agar kamu menerima karma baiknya.,id
Larinya secepat cheetah.,Larinya cepat.,Larinya lambat.,id
divorce is a rainbow after a storm,divorce is something surprisingly good after something devastating,divorce is the feeling of failing,en_dev
Dari dulu sifatnya seperti putri malu.,Dari dulu sifatnya seperti pemalu.,Dari dulu sifatnya seperti tidak tahu malu.,id
Perpisahan adalah tegukan air dingin di siang hari yang kerontang.,Perpisahan adalah hal yang menyenangkan.,Perpisahan adalah hal yang menyakitkan.,id
Mwanariadha huyu ni duma.,Mwanariadha huyu ana mbio sana.,Mwanariadha huyu anakimbia polepole sana.,sw
Hidup tanpa ilmu bagai lampu bohlam 100 watt.,Hidup tanpa ilmu itu terang.,Hidup tanpa ilmu itu gelap.,id
The situation is as sticky as maple syrup,The situation is hard to get out of.,The situation isn't very messy.,en_dev
Kijana ni kama amepakwa upupu,Kijana han utulivu,Kijana ni mtulivu sana,sw
"Saat kelas berlangsung, mereka berbincang bak petir bersahut-sahutan di tengah hujan.",Mereka berbicara dengan suara kencang.,Mereka berbicara dengan suara pelan.,id
These pancakes taste like cumulous clouds!,The pancakes are light and fluffy.,The pancakes are undercooked.,en_dev
macho yako ni nchi ya umeme na machozi,macho yako yanapendeza,macho yako hayapendezi,sw
Deni yen wis nari kaya robot,Deni yen wis nari kaku banget kaya robot,Deni yen wis nari luwes banget kaya godhong ceblok,jv
जीत पर मंत्री जी को लोगों ने जूतों की माला पहनाई। ,लोग मंत्री जी की जीत से बहुत दुखी थे।,लोग मंत्री जी की जीत से बहुत खुश थे।,hi
Udan awan ini kaya banyu langsung diguyur soko dhuwur,Udane deres,Udane gerimis,jv
यह सर्दी उतनी ही ठंडी है जितनी मेरी दोपहर की चारपाई। ,बहुत गरमी है। ,बहुत ठंड है। ,hi
महेन्दर का दिमाग साबू सा तेज था।,महेन्द्र दिमाग से तेज नहीं था। ,महेन्द्र दिमाग से बहुत तेज था। ,hi
"आप उस पर भरोसा कर सकते हैं, वह पहिये की तरह सीधा है।",वह भरोसे के लायक बिलकुल नहीं है।,वह भरोसे के लायक है।,hi
ಕ್ರೀಡಾಕೂಟ ಒಲಂಪಿಕ್ಸ್ ನಷ್ಟು ದೊಡ್ಡದು,ಆ ಕ್ರೀಡಾಕೂಟ ದೊಡ್ಡದು,ಆ ಕ್ರೀಡಾಕೂಟ ದೊಡ್ಡದಲ್ಲ,kn
Nilau tukar rupiah di banding dolar ibarat Bujang Bungkuk yang tidak percaya diri.,Nilai tukar rupiah dibanding dolar lemah.,Nilai tukar rupiah dibanding dolar kuat.,id
राम ने शाम को हथोड़े सा हाथ मारा। ,राम ने शाम को बहुत जोर से मारा।  ,राम ने शाम को बहुत धीरे से मारा।  ,hi
Beatrice alikaidi masharti kama mlinzi wa malkia,Beatrice alifuata masharti yote ya mwalimu,Beatrice alikataa kufuata Masharti ya mwalimu,sw
Àkekèé ni Dayọ̀,Ènìyàn tó lè ṣeni láǹfààní ni Dayọ̀,Ènìyàn tó lè ṣeni níjàm̀bá ni Dayọ̀,yo
Hali yangu ni kama natembea juu ya miiba,Hali yangu ni mbaya,Hali yangu ni nzuri,sw
Awakna siga tangkal jati,Awakna kiat,Awakna letoy.,su
Kisah cinta kami seperti kisah Romeo dan Juliet.,Kisah cinta kami sementara.,Kisah cinta kami abadi.,id
Janet ni kiganja cha moto,Janet hunichukiza usiku na mchana,Janet hunipendeza usiku na mchana,sw
ಅವರು ಸಾಮಾನ್ಯ ಜನರಂತೆ ಶ್ರೀಮಂತರು,ಅವರು ಶ್ರೀಮಂತರೇನಲ್ಲ,ಅವರು ಶ್ರೀಮಂತರು,kn
I prefer to live like a grasshopper.,"I prefer to live a life that is carefree and in the moment, with no thought of the future.",I prefee to live a life focused on working hard so that I am prepared for the future,en_dev
Mega menerima hadiah tersebut dengan tinggi hati.,Mega menerima hadiah tersebut dengan sombong.,Mega menerima hadiah tersebut dengan santun.,id
गायक किसी स्वर्ग के दूत की तरह गा रहा था। ,गायक बहुत सुरीला गा रहा था। ,गायक बहुत ऊँचे स्वर में गा रहा था। ,hi
ಆಕೆ ಟಾಪರ್ ನಷ್ಟು ಮಹೊನ್ನತವಾಗಿದ್ದಾಳೆ,ಆಕೆ ಮಹೊನ್ನತವಾಗಿದ್ದಾಳೆ,ಆಕೆ ಮಹೊನ್ನತವಾಗಿಲ್ಲ,kn
Bàbá Agbájé kò fẹnu fa ọyùn ìyàwò rẹ̀,Bàbá Agbájé mọ oúnjẹ sè,Bàbá Agbájé mọ ọyùn mu,yo
The leaves were as green as dirt,The leaves were brown and not green at all.,The leaves were very green,en_dev
"Alipojifungua, alianza kuwajibika kama mwanafunzi anayekalia mtihani wa kitaifa",Ilimbidi awajibike alipopata mtoto,Alishindwa kuwajibika hata alipopata mtoto,sw
Artis eta téh keur jatoh ka jurang.,Artis eta téh keur boga masalah.,Artis eta téh keur kawentar,su
ಅವಳು ಹಾಕಿದ್ದ ಒಡವೆಯು ಚಿನ್ನದಂತೆ ಗಟ್ಟಿಯಾಗಿತ್ತು,ಅವಳ ಒಡವೆ ತುಂಬಾ ಗಟ್ಟಿ ಇತ್ತು,ಅವಳ ಒಡವೆ ತುಂಬಾ ಟಳ್ಳಾಗಿತ್ತು,kn
Dereva alikuwa kama Lutu wa bibilia.,Dereva alikuwa mlevi.,Dereva alikuwa kiasi.,sw
Potongan bawangnya seperti butiran pasir.,Potongan bawangnya halus.,Potongan bawangnya kasar.,id
The casino had the ambiance of A dirty junkyard,The casino had a bad atmosphere,The casino had a good atmosphere,en_dev
ರಾತ್ರಿಯ ಕತ್ತಲು ಹುಣ್ಣಿಮೆಯಂತೆ ಗಾಢವಾಗಿತ್ತು,ಕತ್ತಲು ಗಾಢವಾಗಿರಲಿಲ್ಲ,ಕತ್ತಲು ಗಾಢವಾಗಿತ್ತು,kn
ಜಾತ್ರೆಯಲ್ಲಿ ಮಕ್ಕಳಿಗಾಗಿ ಹೆಚ್ಚು ಆಟಗಳಿದ್ದವು,ಜಾತ್ರೆಯಲ್ಲಿ ಹೆಚ್ಚು ಆಟಗಳಿದ್ದವು,ಜಾತ್ರೆಯಲ್ಲಿ ಕಡಿಮೆ ಆಟಗಳಿದ್ದವು,kn
Filamu hii ni msitu mkubwa.,Filamu hii ina siri nyingi.,Filamu hii ina uwazi.,sw
Maisha yake yote ni kama miiba.,Maisha yake yote amekua akipata maumivu sana,Maisha yake yote hajawahi pata maumivu,sw
वह आदमी मोम जैसा जिद्दी है।,उसका निर्णय बदलना इतना मुश्किल नहीं है।,उसका निर्णय बदलना मुश्किल है।,hi
Her face is an ice rink.,Her face is smooth.,Her face is bumpy.,en_dev
Uhusiano wao ni kama mapema ya majira ya joto.,Uhusiano wao umejaa amani.,Uhusiano wao umejaa mzozo.,sw
उसकी बहन स्कूल की चपरासी है। ,उसकी बहन स्कूल में बहुत छोटी पोस्ट पर है। ,उसकी बहन स्कूल में बहुत ऊँची पोस्ट पर है। ,hi
Yeye amekuwa fisi,ni mlafi,si mlafi,sw
Yen lungguh ana nggarep dhewe patrape kaya Buta Cakil,Yen lungguh ana ngarep dhewe patrape pecicilan,Yen lungguh ana ngarep dhewe patrape anteng banget,jv
Semangatnya begitu keras bagaikan batu.,Semangat yang keras.,Semangat yang lembek.,id
"Semakin dewasa, sosial media seperti lembar uang 50 ribuan yang ditemukan di pinggir jalan.","Semakin dewasa, sosial media menjadi berharga.","Semakin dewasa, sosial media menjadi tidak penting.",id
Mama yao ana maneno mazuri kama biblia,Mama yao ana maneno mazuri,Mama yao ana maneno mabaya,sw
The parking lot is a crater.,The parking lot is bumpy.,The parking lot is smooth.,en_dev
ಈ ತಿನಿಸು ಮಾವಿನ ಹಣ್ಣಿನಂತೆ ಸಿಹಿಯಾಗಿದೆ,ಈ ತಿನಿಸು ಸಿಹಿಯಾಗಿಲ್ಲ,ಈ ತಿನಿಸು ಸಿಹಿಯಾಗಿದೆ,kn
The road is an ice rink.,The road is smooth.,The road is bumpy.,en_dev
ಆ ದೇಶದ ಜನಸಂಖ್ಯೆ ಕೆನಡಾದಷ್ಟಿದೆ,ಆ ದೇಶದ ಜನಸಂಖ್ಯೆ ಕಡಿಮೆ,ಆ ದೇಶದ ಜನಸಂಖ್ಯೆ ಹೆಚ್ಚು,kn
रहीम को उसकी पत्नी पुरानी चादर की तरह चुभती है।,रहीम को अपनी पत्नी से कोई परेशानी नहीं है। ,रहीम को अपनी पत्नी से बहुत तंग है।,hi
उस लड़की को वो शिकारी सा घूर रहा है।,वह लड़की को बुरी नज़र से देख रहा था। ,वह लड़की को मदद के लिए बुला रहा था।  ,hi
Wong iku mangane kaya wong wis wareg,Wong iku mangane kaya wong wareg,Wong iku mangane kaya wong luwe,jv
The scene was as refreshing as an empty glass,The scene wasn't refreshing at all.,The scene was totally refreshing.,en_dev
The room has the feeling of a rock concert.,The room is chaotic.,The room is serene.,en_dev
ಈ ಆಟವು ಕಬಡ್ಡಿಯಷ್ಟು ವಿಶ್ವದಾದ್ಯಂತ ಪ್ರಸಿದ್ಧಿಯಾಗಿದೆ,ಈ ಆಟವು ವಿಶ್ವದಾದ್ಯಂತ ಪ್ರಸಿದ್ಧಿಯಾಗಿಲ್ಲ,ಈ ಆಟವು ವಿಶ್ವದಾದ್ಯಂತ ಪ್ರಸಿದ್ಧಿಯಾಗಿದೆ,kn
The girl is as predictable as ocean waves crashing,The girl was very predictable.,The girl was totally unpredictable.,en_dev
The reviews indicated that the product quality was that of A broken down car on the freeway,The product quality was poor,The product quality was excellent,en_dev
न्यूज़ रिपोर्टर के सवाल चाबुक की तरह तेज थे। ,न्यूज़ रिपोर्टर बहुत तेज थी।,न्यूज़ रिपोर्टर बहुत ढीली थी।,hi
Sopan santun itu ibarat keset bagi orang Jawa. .,Sopan santun itu boleh diabaikan bagi orang Jawa.,Sopan santun itu wajib dikenakan agar kehormatan terjaga bagi orang Jawa.,id
Upepo ulipita ukimnong’oneza,Upepo ulipita ukitoa sauti kubwa,Hakuusikia upepo wakati unapita,sw
ಆರೋಗ್ಯಕ್ಕೆ ಚಾಕ್ಲೇಟ್ ಉಪಯುಕ್ತವಾಗಿದೆ,ಆರೋಗ್ಯಕ್ಕೆ ಉಪಯುಕ್ತವಲ್ಲ,ಆರೋಗ್ಯಕ್ಕೆ ಉಪಯುಕ್ತ,kn
Irunge dicantoli koco moto mlorot terus,Irunge pesek,Irunge bangir,jv
Warnane rambute kaya areng,Warna rambute ireng,Warna rambute putih,jv
